City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Maragogi,BR,-9.0122,-35.2225,83.01,64,45,10.31,scattered clouds
283,Amqui,CA,48.4638,-67.4313,37.89,99,100,3.47,overcast clouds
284,Worthington,US,40.0931,-83.018,42.69,69,80,1.01,broken clouds
285,Road Town,VG,18.4167,-64.6167,87.84,62,40,11.5,scattered clouds
286,Sembe,CG,1.6481,14.5806,77.92,75,71,1.25,broken clouds
287,Dingle,PH,10.9995,122.6711,75.34,93,91,6.71,light rain
288,Tuatapere,NZ,-46.1333,167.6833,41.88,95,94,7.31,overcast clouds
289,Palaikastron,GR,35.2,26.25,65.75,76,15,9.8,few clouds
290,Nainpur,IN,22.4333,80.1167,63.88,61,2,4.72,clear sky
291,Narsaq,GL,60.9167,-46.05,4.55,71,2,6.35,clear sky
292,Kulotino,RU,58.45,33.3833,29.46,79,92,7.99,overcast clouds
293,Chany,RU,55.3121,76.7647,1.04,95,81,4.7,broken clouds
294,Dudinka,RU,69.4058,86.1778,0.23,95,100,14.67,overcast clouds
295,Atar,MR,20.5169,-13.0499,90.34,22,72,5.08,broken clouds
296,Burns Lake,CA,54.2331,-125.7533,22.42,89,100,5.68,overcast clouds
297,Provideniya,RU,64.3833,-173.3,15.13,91,58,12.03,broken clouds
298,Ust-Kuyga,RU,70.0167,135.6,-8.88,98,100,2.37,light snow
299,Surt,LY,31.2089,16.5887,68.58,50,0,0.25,clear sky
300,Marshfield,US,44.6689,-90.1718,33.08,78,94,1.63,overcast clouds
301,Xinpu,CN,34.5997,119.1594,53.55,69,100,3.78,overcast clouds
302,Xuchang,CN,34.0167,113.8167,50.88,66,100,9.84,overcast clouds
303,Beloha,MG,-25.1667,45.05,70.32,75,0,9.78,clear sky
304,Vestmanna,FO,62.1564,-7.1664,47.32,93,90,29.93,overcast clouds
305,Martapura,ID,-3.4167,114.85,73.65,96,99,0.69,moderate rain
306,Taltal,CL,-25.4,-70.4833,65.05,68,8,8.3,clear sky
307,Hvide Sande,DK,56.0045,8.1294,45.18,76,100,7.25,overcast clouds
308,Glebychevo,RU,60.4387,28.7183,38.62,69,99,21.77,overcast clouds
309,Uberlandia,BR,-18.9186,-48.2772,78.01,53,75,13.8,broken clouds
310,Pori,FI,61.4833,21.7833,41.07,81,90,12.66,overcast clouds
